job_title,company,location,work_mode,job_level,salary_min,salary_max,currency,skills,posted_date,job_type,apply_url,description
Python Backend Engineer,Nusantara Tech,Jakarta Indonesia,Hybrid,Mid,18000000,26000000,IDR,"Python;FastAPI;PostgreSQL;Docker;AWS",2026-04-26,Full-time,https://careers.nusantaratech.example/jobs/python-backend-engineer,"Build backend services for recruitment analytics products, design APIs, and maintain cloud-based data workflows."
Junior Data Analyst,Metro Insight,Bandung Indonesia,Onsite,Junior,9000000,13000000,IDR,"Python;SQL;PostgreSQL;Excel",2026-04-22,Full-time,https://jobs.metroinsight.example/openings/junior-data-analyst,"Support reporting and dashboard projects by cleaning datasets, writing SQL queries, and presenting insights to business teams."
Frontend React Developer,Pacific Digital,Surabaya Indonesia,Remote,Mid,14000000,22000000,IDR,"React;JavaScript;Docker",2026-04-18,Contract,https://pacificdigital.example/careers/frontend-react-developer,"Develop responsive web interfaces, integrate REST APIs, and collaborate closely with product designers on user-facing features."
Data Engineer,Cloud Harbor,Singapore,Hybrid,Senior,5500,7500,USD,"Python;SQL;PostgreSQL;AWS;Docker",2026-04-27,Full-time,https://cloudharbor.example/careers/data-engineer,"Own ETL pipelines, optimize warehousing workloads, and improve reliability for cross-border analytics platforms."
Django Full Stack Developer,Garuda Commerce,Yogyakarta Indonesia,Hybrid,Mid,16000000,24000000,IDR,"Python;Django;React;PostgreSQL;JavaScript",2026-04-15,Full-time,https://garudacommerce.example/jobs/django-full-stack-developer,"Build internal commerce tools across backend and frontend layers with a focus on maintainability and fast iteration."
Lead Platform Engineer,Northstar Systems,Remote US,Remote,Lead,8500,11000,USD,"Python;AWS;Docker;PostgreSQL;FastAPI",2026-04-29,Full-time,https://northstarsystems.example/apply/lead-platform-engineer,"Lead platform architecture, guide DevOps practices, and mentor engineers building scalable API and data services."
Software Engineering Intern,Bytecamp Labs,Jakarta Indonesia,Onsite,Internship,3500000,5000000,IDR,"Python;JavaScript;SQL",2026-04-10,Internship,https://bytecamplabs.example/internships/software-engineering-intern,"Assist the engineering team with bug fixes, internal tools, and test automation while learning modern web development practices."
Senior Backend Developer,Atlas Health Tech,Bali Indonesia,Remote,Senior,30000000,42000000,IDR,"Python;Django;FastAPI;PostgreSQL;AWS;Docker",2026-04-21,Full-time,https://atlashealthtech.example/careers/senior-backend-developer,"Design secure backend systems for healthcare operations, improve deployment pipelines, and review architecture decisions."
DevOps Engineer,Meridian Stack,Jakarta Indonesia,Hybrid,Mid,20000000,32000000,IDR,"AWS;Docker;Python;PostgreSQL",2026-04-24,Full-time,https://meridianstack.example/jobs/devops-engineer,"Automate infrastructure provisioning, support CI/CD, and improve observability for containerized application workloads."
Product Data Scientist,Lumina Retail,Kuala Lumpur Malaysia,Remote,Senior,6200,8800,USD,"Python;SQL;PostgreSQL;AWS",,Full-time,https://careers.luminaretail.example/roles/product-data-scientist,"Partner with product and growth teams to run experiments, build predictive models, and define KPI frameworks."
Mid Full Stack Engineer,Riverstone Media,Jakarta Indonesia,Onsite,Mid,17000000,25000000,IDR,"React;JavaScript;Python;FastAPI;Docker",2026-04-12,Full-time,https://riverstonemedia.example/careers/mid-full-stack-engineer,"Work across the web stack to ship campaign management features and improve application performance for media clients."
Senior React Engineer,Blue Orbit,Remote APAC,Remote,Senior,,,USD,"React;JavaScript;AWS;Docker",2026-04-28,Full-time,https://blueorbit.example/jobs/senior-react-engineer,"Own frontend architecture for a SaaS dashboard, improve state management patterns, and collaborate with platform teams."
Machine Learning Engineer,Verde AI,Jakarta Indonesia,Hybrid,Mid,22000000,34000000,IDR,"Python;SQL;AWS;Docker;PostgreSQL",,Full-time,https://verdeai.example/open-roles/machine-learning-engineer,"Deploy machine learning services, manage feature pipelines, and productionize model monitoring for business applications."
Junior QA Automation Engineer,Skyline Apps,Bandung Indonesia,Onsite,Junior,8000000,12000000,IDR,"Python;JavaScript;Docker",2026-04-08,Full-time,https://skylineapps.example/apply/junior-qa-automation-engineer,"Create automated regression tests, reproduce defects, and collaborate with developers to maintain release quality."
Backend API Engineer,Open Ledger,Remote Europe,Remote,Mid,,,USD,"Python;FastAPI;PostgreSQL;AWS;Docker",2026-04-17,Contract,https://openledger.example/careers/backend-api-engineer,"Develop API integrations for financial data products with strong attention to reliability, security, and documentation."
Technical Lead Web Platform,Sentra Digital,Jakarta Indonesia,Hybrid,Lead,35000000,50000000,IDR,"React;JavaScript;Python;Django;AWS;Docker",2026-04-25,Full-time,https://sentradigital.example/jobs/technical-lead-web-platform,"Lead a web platform squad, coordinate technical delivery, and set engineering standards across frontend and backend services."
